fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
904669798,0000669798,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904614751,0000614751,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905589579,0000589579,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905589596,0000589596,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905612206,0000612206,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905870181,0000870181,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905716743,0000716743,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
250554171,0000554171,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252838222,0000838222,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303182826,0000182826,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303306582,0000306582,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303759426,0000759426,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251578284,0000578284,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251578224,0000578224,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251809117,0000809117,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30532673,0000032673,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305481101,0000481101,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305153670,0000153670,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668130,0000668130,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305461986,0000461986,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305691804,0000691804,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305472426,0000472426,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30576617,0000076617,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305139966,0000139966,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305795106,0000795106,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90457549,0000057549,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904739221,0000739221,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904251711,0000251711,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90438004,0000038004,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90438009,0000038009,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904756534,0000756534,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574980,0000574980,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574981,0000574981,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574982,0000574982,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574988,0000574988,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904578313,0000578313,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579560,0000579560,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579595,0000579595,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904669796,0000669796,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904669801,0000669801,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615123,0000615123,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905404653,0000404653,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905489009,0000489009,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905583392,0000583392,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
250841994,0000841994,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252509681,0000509681,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252941953,0000941953,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252941954,0000941954,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252622125,0000622125,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252782575,0000782575,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252159562,0000159562,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252535865,0000535865,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30329902,0000029902,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30532788,0000032788,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305243410,0000243410,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
